               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10332,            0.034474,             0.04972,            0.018077,            0.038051,           0.0031664,           0.0012188,            0.096024,            0.023641,            0.050671,            0.070096,           0.0033226,           0.0033226
                   1,            0.089284,            0.033081,             0.04665,             0.22486,            0.015015,           0.0041103,             0.00118,            0.087241,            0.015104,            0.046138,            0.040031,           0.0065901,           0.0065901
                   2,            0.084512,            0.031944,            0.043222,            0.003041,             0.22989,           0.0029173,          0.00073576,            0.096166,            0.038515,            0.068271,           0.0098987,           0.0097915,           0.0097915
                   3,            0.074534,            0.032863,            0.037344,           0.0072264,             0.31679,           0.0065018,           0.0020317,            0.084951,            0.028085,            0.079539,            0.009703,            0.009703,            0.009703
                   4,            0.068397,            0.032529,            0.034953,             0.32438,             0.19959,            0.082902,            0.027079,             0.06683,            0.019174,             0.03456,            0.009703,            0.009703,            0.009703
                   5,            0.062182,            0.031963,            0.033083,             0.18905,             0.24459,             0.13409,            0.051313,            0.061331,            0.017877,            0.031753,            0.009604,            0.009604,            0.009604
                   6,            0.059421,            0.031219,            0.031574,             0.24929,             0.27093,             0.16014,            0.061854,            0.059201,            0.017367,            0.037434,            0.009505,            0.009505,            0.009505
                   7,            0.057076,            0.030544,            0.029871,             0.22102,             0.27812,             0.17533,            0.070195,            0.057677,            0.016882,            0.034277,            0.009406,            0.009406,            0.009406
                   8,            0.055063,            0.030336,            0.027842,              0.2831,             0.30522,             0.21331,            0.090204,            0.056171,            0.016271,            0.027609,            0.009307,            0.009307,            0.009307
                   9,            0.054163,            0.030393,            0.026945,             0.27229,             0.35634,             0.21846,            0.093435,            0.055028,            0.017013,            0.028276,            0.009208,            0.009208,            0.009208
                  10,            0.052304,            0.029588,            0.026214,             0.31371,             0.38323,               0.271,             0.12873,            0.053475,            0.016775,            0.026649,            0.009109,            0.009109,            0.009109
                  11,            0.051985,            0.029213,            0.025252,             0.35213,             0.39428,             0.30232,             0.14295,            0.053619,            0.016296,            0.023046,             0.00901,             0.00901,             0.00901
                  12,            0.051265,            0.029132,            0.024194,             0.35582,             0.36252,             0.29749,             0.14431,            0.052703,            0.016584,            0.026079,            0.008911,            0.008911,            0.008911
