               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099997,            0.034627,            0.049522,           0.0023759,            0.018185,           0.0012349,          0.00043109,            0.096016,            0.030229,            0.054061,            0.070096,           0.0033226,           0.0033226
                   1,            0.088161,            0.032782,            0.045922,           0.0019223,             0.19129,           0.0018482,          0.00040785,            0.085977,            0.015109,            0.045856,            0.040031,           0.0065901,           0.0065901
                   2,             0.08604,            0.030806,            0.042097,           0.0030203,             0.16177,           0.0025435,          0.00049215,            0.091069,            0.023565,            0.052381,           0.0098987,           0.0097915,           0.0097915
                   3,            0.078314,            0.032034,            0.036705,             0.43084,             0.10198,            0.021708,           0.0062034,            0.075903,            0.018753,            0.034959,            0.009703,            0.009703,            0.009703
                   4,             0.07208,             0.03265,            0.034875,             0.47495,             0.14282,            0.044475,            0.012672,            0.070424,            0.018526,            0.035127,            0.009703,            0.009703,            0.009703
                   5,            0.064887,            0.032313,            0.032829,             0.26603,             0.12698,            0.055714,            0.016883,            0.067115,            0.018142,            0.033571,            0.009604,            0.009604,            0.009604
                   6,            0.061305,            0.031465,             0.03168,             0.14976,             0.23762,             0.11316,            0.035356,            0.061898,             0.01756,            0.039508,            0.009505,            0.009505,            0.009505
                   7,            0.058221,            0.030456,            0.030296,             0.22244,             0.27113,             0.16875,            0.070047,            0.058431,            0.016471,            0.028808,            0.009406,            0.009406,            0.009406
                   8,            0.055828,            0.029973,            0.027984,             0.28258,             0.29688,             0.20665,            0.088409,              0.0572,            0.016141,            0.028284,            0.009307,            0.009307,            0.009307
                   9,            0.054349,            0.029815,            0.026973,             0.27374,              0.3231,              0.2178,            0.096934,            0.053973,            0.016207,            0.026447,            0.009208,            0.009208,            0.009208
                  10,            0.052093,            0.028757,            0.025183,             0.31354,             0.36107,             0.25069,             0.11568,            0.053836,            0.016195,            0.027475,            0.009109,            0.009109,            0.009109
                  11,            0.051367,            0.028177,            0.023907,             0.41365,             0.39625,             0.33116,             0.16165,            0.053353,            0.015293,            0.021586,             0.00901,             0.00901,             0.00901
                  12,            0.050399,            0.028107,            0.022897,             0.32828,             0.38834,             0.27893,             0.13523,            0.053175,            0.015387,            0.022444,            0.008911,            0.008911,            0.008911
                  13,            0.049291,            0.027467,            0.022355,             0.41518,             0.39615,             0.35842,             0.19136,            0.050478,            0.015162,             0.02009,            0.008812,            0.008812,            0.008812
                  14,            0.047961,            0.027475,            0.021151,             0.41423,             0.45735,             0.38072,             0.20603,             0.04988,             0.01486,            0.018944,            0.008713,            0.008713,            0.008713
                  15,            0.047771,            0.026409,            0.020705,             0.45019,             0.45036,             0.39258,             0.22084,            0.049804,            0.014999,            0.019065,            0.008614,            0.008614,            0.008614
                  16,            0.046882,            0.026693,            0.019702,             0.46744,             0.47471,              0.4419,             0.23636,             0.04854,            0.014507,            0.017096,            0.008515,            0.008515,            0.008515
                  17,            0.046022,            0.026622,            0.018929,             0.46706,              0.4364,             0.40218,             0.22333,            0.049002,            0.014512,            0.016418,            0.008416,            0.008416,            0.008416
                  18,            0.045338,            0.026659,            0.018175,             0.50302,             0.49783,             0.45998,             0.25633,            0.048088,            0.014427,            0.015125,            0.008317,            0.008317,            0.008317
                  19,            0.044561,             0.02547,            0.018209,             0.44562,             0.45051,             0.41088,             0.23394,            0.050324,            0.014586,            0.018129,            0.008218,            0.008218,            0.008218
                  20,              0.0444,            0.025806,            0.017483,              0.5751,             0.47616,             0.48709,              0.2913,            0.047339,            0.014234,            0.015086,            0.008119,            0.008119,            0.008119
                  21,            0.043638,            0.025437,            0.016986,             0.56303,             0.49436,              0.5033,             0.30508,            0.046673,            0.014213,            0.016913,             0.00802,             0.00802,             0.00802
                  22,            0.043941,            0.025647,            0.016285,             0.55024,             0.51038,             0.52518,             0.31364,            0.047024,            0.014096,             0.01471,            0.007921,            0.007921,            0.007921
                  23,            0.043142,            0.025441,            0.015985,             0.61754,             0.51985,             0.54862,             0.33152,            0.046377,             0.01368,            0.013342,            0.007822,            0.007822,            0.007822
                  24,            0.042503,            0.025082,            0.015686,             0.60964,              0.5076,              0.5357,             0.32983,             0.04619,             0.01377,            0.013027,            0.007723,            0.007723,            0.007723
                  25,            0.042276,            0.024941,            0.014735,             0.63837,             0.53027,             0.56821,             0.35022,            0.046287,             0.01375,            0.011752,            0.007624,            0.007624,            0.007624
