               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10037,            0.052169,            0.049113,            0.001848,             0.02092,          0.00066503,          0.00021636,            0.096734,             0.12139,            0.059287,            0.070096,           0.0033226,           0.0033226
                   1,            0.089438,            0.051684,            0.045356,           0.0023973,             0.19962,           0.0029246,          0.00085474,            0.087366,            0.035062,            0.044055,            0.040031,           0.0065901,           0.0065901
                   2,            0.084745,            0.050736,            0.042013,           0.0021379,             0.26115,           0.0035235,          0.00084775,            0.087844,            0.047545,             0.04771,           0.0098987,           0.0097915,           0.0097915
                   3,            0.075508,            0.053115,            0.037573,           0.0034824,             0.36678,           0.0046672,           0.0011635,            0.089956,            0.034877,            0.055503,            0.009703,            0.009703,            0.009703
                   4,            0.071811,            0.053819,            0.036103,            0.055712,            0.096282,            0.023349,           0.0068718,            0.071457,            0.035712,             0.03444,            0.009703,            0.009703,            0.009703
                   5,            0.065809,              0.0552,            0.034216,             0.41657,            0.040603,            0.032461,            0.010055,            0.067065,            0.038022,            0.034069,            0.009604,            0.009604,            0.009604
                   6,            0.061698,            0.055627,            0.033419,             0.16799,            0.068379,            0.083026,               0.031,            0.061614,            0.038475,            0.033579,            0.009505,            0.009505,            0.009505
                   7,            0.058627,            0.054674,            0.031738,             0.37053,             0.10273,             0.10168,            0.042032,            0.060691,            0.037643,            0.032625,            0.009406,            0.009406,            0.009406
                   8,            0.056356,            0.053939,             0.03003,             0.35408,             0.16935,             0.17708,             0.08029,            0.055663,            0.036388,             0.02878,            0.009307,            0.009307,            0.009307
                   9,            0.054344,            0.052952,            0.029267,              0.2856,             0.18624,             0.16046,            0.074898,            0.055777,            0.036296,            0.033085,            0.009208,            0.009208,            0.009208
                  10,            0.053022,            0.051797,             0.02797,             0.33997,             0.25997,             0.23118,             0.11593,            0.053763,            0.035803,            0.028716,            0.009109,            0.009109,            0.009109
                  11,            0.052333,            0.050367,            0.026631,             0.36628,             0.29263,             0.25478,             0.12334,            0.053585,            0.035285,            0.025509,             0.00901,             0.00901,             0.00901
                  12,            0.051626,             0.05018,            0.025213,             0.37232,             0.28974,              0.2573,             0.12855,            0.052679,            0.035432,            0.030173,            0.008911,            0.008911,            0.008911
                  13,            0.050194,            0.049621,            0.024607,             0.40533,             0.34354,             0.30024,             0.16082,            0.051371,            0.034489,            0.021399,            0.008812,            0.008812,            0.008812
                  14,            0.049638,            0.049469,            0.023162,             0.37552,             0.30934,             0.30536,             0.16107,            0.051347,            0.033724,            0.025378,            0.008713,            0.008713,            0.008713
                  15,            0.049047,            0.047794,            0.022632,             0.44551,             0.36773,             0.33963,             0.18675,            0.051413,             0.03406,            0.021664,            0.008614,            0.008614,            0.008614
                  16,            0.048484,            0.048163,            0.021913,             0.42234,             0.39928,             0.32424,              0.1752,             0.05047,            0.033979,            0.025047,            0.008515,            0.008515,            0.008515
                  17,            0.046975,            0.056768,            0.021693,             0.46945,             0.46238,             0.41109,             0.23143,            0.048443,             0.03218,            0.019843,            0.008416,            0.008416,            0.008416
                  18,            0.046236,            0.055283,            0.020106,             0.41129,               0.446,             0.37431,             0.22031,            0.047745,            0.031873,            0.022788,            0.008317,            0.008317,            0.008317
                  19,            0.045571,            0.054568,            0.019805,             0.51772,             0.47422,             0.44851,             0.26766,             0.04747,            0.031813,            0.018857,            0.008218,            0.008218,            0.008218
                  20,            0.043837,            0.054193,            0.019378,             0.51473,             0.47178,             0.44974,             0.27829,               0.047,            0.031823,            0.016604,            0.008119,            0.008119,            0.008119
                  21,            0.044325,            0.053781,            0.018666,             0.53504,              0.4852,             0.48955,             0.30164,            0.046928,            0.031194,            0.016819,             0.00802,             0.00802,             0.00802
                  22,             0.04298,            0.053153,            0.017631,             0.57446,             0.49162,             0.48817,             0.29459,            0.046666,            0.031486,            0.016044,            0.007921,            0.007921,            0.007921
                  23,            0.043544,            0.052522,            0.018378,             0.54408,             0.49879,             0.49934,             0.30086,            0.046553,            0.030834,            0.018944,            0.007822,            0.007822,            0.007822
                  24,            0.042659,            0.051936,            0.017287,             0.52463,             0.52061,             0.49738,             0.30244,            0.045811,            0.031092,            0.017535,            0.007723,            0.007723,            0.007723
                  25,            0.042327,            0.052053,            0.016523,             0.58847,             0.50314,             0.51984,             0.32744,             0.04547,            0.030647,            0.015147,            0.007624,            0.007624,            0.007624
                  26,            0.042408,            0.051778,            0.016426,              0.5598,             0.49538,             0.51515,             0.32666,            0.044633,             0.03043,            0.018111,            0.007525,            0.007525,            0.007525
                  27,            0.041687,             0.05083,             0.01621,             0.60942,             0.50355,              0.5217,              0.3141,            0.045478,            0.030085,            0.015906,            0.007426,            0.007426,            0.007426
                  28,            0.041949,            0.050208,            0.015617,             0.59534,             0.53863,             0.55811,             0.35246,             0.04474,            0.029651,            0.013939,            0.007327,            0.007327,            0.007327
                  29,            0.041424,            0.049945,            0.014931,             0.56242,             0.53621,             0.53377,             0.33315,            0.044026,            0.029788,            0.012411,            0.007228,            0.007228,            0.007228
                  30,            0.040687,            0.049873,            0.015331,             0.61857,             0.53353,             0.57249,              0.3681,            0.044597,            0.029572,            0.011899,            0.007129,            0.007129,            0.007129
                  31,            0.039855,            0.049617,            0.014327,             0.55314,             0.53309,             0.54856,             0.35985,            0.043617,            0.029625,               0.017,             0.00703,             0.00703,             0.00703
